IdleTimes
n, µs
1329, 10903
1330, 5024
1331, 11953
1332, 6286
1333, 9763
1334, 4805
1335, 11404
1336, 5062
1337, 11167
1338, 4950
1339, 510877
1340, 4910
1341, 999292
1342, 4774
1343, 995311
1344, 5024
1345, 988262
1346, 4671
1347, 995460
1348, 5008
1349, 1001651
1350, 5204
1351, 687160
1352, 5027
1353, 11161
1354, 4870
1355, 12163
1356, 4975
1357, 11777
1358, 5456
1359, 10397
1360, 4920
1361, 12068
1362, 5047
1363, 11275
1364, 4926
1365, 12881
1366, 4968
1367, 185452
1368, 6826
1369, 117698
1370, 5125
1371, 11197
1372, 5020
1373, 10878
1374, 5105
1375, 12700
1376, 5216
1377, 10682
1378, 5071
1379, 13079
1380, 5168
1381, 10755
1382, 5084
1383, 11154
1384, 4913
1385, 12843
1386, 5323
1387, 12014
1388, 5025
1389, 11702
1390, 5064
1391, 11177
1392, 4868
1393, 11415
1394, 5506
1395, 11917
1396, 4838
1397, 11712
1398, 5068
1399, 12335
1400, 5139
1401, 11462
1402, 7157
1403, 8741
1404, 5728
1405, 10914
1406, 5168
1407, 11525
1408, 5035
1409, 11968
1410, 17118
1411, 4907
1412, 9803
1413, 5007
1414, 11670
1415, 5043
1416, 11571
1417, 6784
1418, 10306
1419, 4930
1420, 11777
1421, 4911
1422, 11613
1423, 4946
1424, 11358
1425, 7517
1426, 8776
1427, 5049
1428, 11349
1429, 4842
1430, 11749
1431, 4961
1432, 11387
1433, 7418
1434, 8849
1435, 5043
1436, 11624
1437, 5186
1438, 11147
1439, 4885
1440, 11400
1441, 7434
1442, 8931
1443, 5470
1444, 11330
1445, 4780
1446, 10934
1447, 5089
1448, 13591
1449, 6295
1450, 10621
1451, 4845
1452, 11863
1453, 4953
1454, 11869
1455, 5971
1456, 10145
1457, 9584
1458, 6391
1459, 5610
1460, 12094
1461, 5000
1462, 10490
1463, 5277
1464, 10582
1465, 7173
1466, 64021
1467, 4993
1468, 121629
1469, 6460
1470, 9480
1471, 4858
1472, 12195
1473, 4955
1474, 12411
1475, 4947
1476, 12022
1477, 6065
1478, 11715
1479, 6313
1480, 9645
1481, 5282
